id,type,cluster,wave,title,slug,category,priority,status,usefulness,indonesian_relevance,search_demand,differentiation,internal_link_potential,repeat_use,template_feasibility,content_feasibility,maintenance_burden,factual_compliance_risk,monetization_suitability,weighted_total,evidence_level,dependencies,related_templates,related_guides,related_formulas,related_troubleshooting,related_collections,owner_review_required,notes
T11,template,Produktivitas Kerja,3,Tracker Proyek Sederhana,template-tracker-proyek-sederhana,produktivitas-kerja,P2,planned,5,4,4,4,5,5,4,5,2,1,4,4.50,template-library benchmark; inference,Need scope small enough for Excel template,template-kalender-planner-2026; template-task-tracker-kanban-excel,G05; G07; G08,F04; F06; F05,TR04; TR05,C03,no,Keep for small projects, not enterprise project management.
G01,guide,Bisnis dan UMKM,1,Memilih Template Excel untuk UMKM,panduan-memilih-template-excel-umkm,panduan,P0,published,5,5,4,5,5,4,1,5,2,2,4,4.54,search observation; inference,Needs existing and proposed template map,T01; T02; T03; T05,,F01; F04,TR01,C01,yes,Published in Batch 3 Wave 1; use as cluster entry guide.
G02,guide,Bisnis dan UMKM,1,Cara Membuat Rekap Penjualan Harian di Excel,panduan-rekap-penjualan-harian-excel,panduan,P0,published,5,5,5,4,5,5,1,5,2,2,5,4.66,search observation; inference,Needs template examples,T02; T01,,F01; F04,TR01; TR02,C01,yes,Published in Batch 3 Wave 1; high utility and strong formula links.
G03,guide,Bisnis dan UMKM,3,Cara Membaca Arus Kas Sederhana UMKM,panduan-arus-kas-sederhana-umkm,panduan,P1,planned,5,5,4,4,5,4,1,4,3,4,4,4.00,inference,Owner review for accounting disclaimer,T03; T05,,F01; F02,TR01; TR04,C01,yes,Educational framing only; no accounting advice.
G04,guide,Keuangan Pribadi,2,Membuat Budget Pribadi sebagai Catatan,panduan-budget-pribadi-sebagai-catatan,panduan,P1,planned,5,5,4,4,5,5,1,5,2,3,4,4.38,inference,Owner review for finance disclaimer,T04; T06; T09; template-budget-bulanan,,F01; F04; F02,TR01,C02,yes,Record keeping, not financial planning.
G05,guide,Produktivitas Kerja,2,Cara Memakai Excel Table untuk Template,panduan-excel-table-untuk-template,panduan,P1,planned,5,4,4,4,5,5,1,5,1,1,4,4.52,verified docs; inference,Need screenshots later,T07; T08; T11,,F04; F05,TR05,C03,no,Evergreen guide that supports most templates.
G06,guide,Produktivitas Kerja,2,Cara Membuat Dropdown Data Validation,panduan-dropdown-data-validation-excel,panduan,P1,planned,5,4,4,4,5,5,1,5,1,1,4,4.52,search observation; inference,Need version compatibility notes,T07; T10,,F06,TR05,C03,no,Pairs with troubleshooting and template QA.
G07,guide,Bisnis dan UMKM,1,Cara Membuat Dashboard Sederhana di Excel,panduan-dashboard-sederhana-excel,panduan,P0,published,5,5,5,4,5,5,1,5,2,2,5,4.66,search observation; inference,Needs chart and KPI examples,T02; T06; T11,,F01; F04; F05,TR02,C01,yes,Published in Batch 3 Wave 1; supports Wave 1 perception of quality.
G08,guide,Produktivitas Kerja,3,Cara Menjaga File Excel Tetap Rapi,panduan-file-excel-rapi-untuk-dipakai-rutin,panduan,P2,planned,4,4,3,4,5,5,1,5,1,1,4,4.18,inference,Define checklist-style structure,T07; T08; T11,,F02,TR06,C03,no,Good low-risk support content.
F01,formula,Bisnis dan UMKM,1,Rumus SUMIFS untuk Rekap Kategori,rumus-sumifs-rekap-kategori,rumus-excel,P0,published,5,5,5,4,5,5,1,5,1,1,5,4.78,verified Microsoft docs; search observation,Need examples from current/proposed templates,T02; T03; T05; template-budget-bulanan,G02; G07,,TR02,C01,yes,Published in Batch 3 Wave 1; core formula reference for dashboards and logs.
F02,formula,Keuangan Pribadi,1,Rumus IFERROR untuk Template yang Lebih Rapi,rumus-iferror-template-rapi,rumus-excel,P0,published,4,4,4,4,5,5,1,5,1,1,4,4.30,verified Microsoft docs,Need examples that do not hide audit issues,T01; T04; T06,G04,,TR03,C02,no,Published in Batch 3 Wave 1; explain when not to hide errors.
F03,formula,Bisnis dan UMKM,2,XLOOKUP dan VLOOKUP untuk Data Barang atau Pelanggan,rumus-xlookup-vlookup-data,rumus-excel,P1,planned,5,5,5,4,5,5,1,5,2,1,5,4.74,verified Microsoft docs; search observation,Need compatibility note for XLOOKUP,T01; template-stok-barang-excel-gratis; template-follow-up-pelanggan-excel,G05,,TR03,C01,no,Cover modern and older lookup paths.
F04,formula,Produktivitas Kerja,2,COUNTIFS untuk Menghitung Status,rumus-countifs-dashboard-status,rumus-excel,P1,planned,5,4,4,4,5,5,1,5,1,1,4,4.42,verified Microsoft docs; inference,Need template examples,T07; T11; T02,G07,,TR02,C03,no,Useful for dashboards and action lists.
F05,formula,Produktivitas Kerja,3,FILTER untuk Daftar Dinamis,rumus-filter-daftar-dinamis,rumus-excel,P2,planned,4,4,4,4,4,4,1,4,2,1,4,3.96,verified Microsoft docs,Need version compatibility warning,T11; T07,G05; G07,,TR06,C03,no,Good but slightly lower due to version constraints.
F06,formula,Produktivitas Kerja,3,IF dan IFS untuk Status dan Prioritas,rumus-if-ifs-status-prioritas,rumus-excel,P2,planned,5,4,4,4,5,5,1,5,1,1,4,4.42,verified Microsoft docs; inference,Need examples across task and shift templates,T07; T10; T11,G06,,TR05,C03,no,Supports dropdown/status templates.
TR01,troubleshooting,Bisnis dan UMKM,1,Angka Tidak Terjumlah karena Format Teks,masalah-angka-tidak-terjumlah-format-teks,masalah-excel,P0,published,5,5,5,4,5,5,1,5,1,1,4,4.66,search observation; inference,Need safe repair steps,T01; T02; T05; template-budget-bulanan,G02,F01,TR02,C01,no,Published in Batch 3 Wave 1; very common blocker for finance and stock files.
TR02,troubleshooting,Bisnis dan UMKM,1,SUMIFS atau COUNTIFS Hasilnya 0,masalah-sumifs-countifs-hasil-nol,masalah-excel,P0,published,5,5,4,4,5,5,1,5,1,1,4,4.54,search observation; inference,Need examples with criteria/date/text mismatch,T02; T05; T07,G02; G07,F01; F04,TR01,C01,no,Published in Batch 3 Wave 1; strong formula-support page.
TR03,troubleshooting,Bisnis dan UMKM,2,VLOOKUP atau XLOOKUP Muncul #N/A,masalah-vlookup-xlookup-na,masalah-excel,P1,planned,5,4,5,4,5,5,1,5,1,1,4,4.54,search observation; verified Microsoft docs,Need examples with missing keys,T01; template-stok-barang-excel-gratis,G05,F03,F02,C01,no,Connect to lookup formula reference.
TR04,troubleshooting,Produktivitas Kerja,2,Tanggal Salah Format atau Berubah Sendiri,masalah-tanggal-salah-format-excel,masalah-excel,P1,planned,5,5,4,4,5,5,1,5,2,2,4,4.38,inference,Need locale/date examples,T03; T10; template-kalender-planner-2026,G08,F06,,C03,no,Important for Indonesian day/month conventions.
TR05,troubleshooting,Produktivitas Kerja,3,Dropdown Data Validation Tidak Muncul,masalah-dropdown-data-validation-tidak-muncul,masalah-excel,P2,planned,4,4,4,4,5,4,1,5,1,1,4,4.18,search observation; inference,Need steps for range/table validation,T07; T10,G06,F06,,C03,no,Useful support page for many templates.
TR06,troubleshooting,Produktivitas Kerja,3,File Excel Berantakan saat Dibuka di Google Sheets,masalah-file-excel-berantakan-google-sheets,masalah-excel,P2,planned,4,4,3,4,4,4,1,4,2,1,3,3.76,inference,Need compatibility matrix,T07; T11; template-kalender-planner-2026,G08,F05,,C03,no,Set expectations; do not promise full parity.
C01,collection,Bisnis dan UMKM,1,Paket Administrasi UMKM,koleksi-template-administrasi-umkm,koleksi,P0,published,5,5,4,4,5,5,1,5,2,3,5,4.42,inference,Requires enough Wave 1 pages,T01; T02; T03; T05,G01; G02; G03,F01; F03,TR01; TR02,,yes,Published in Batch 3 Wave 1; collection should publish only after linked pages exist.
C02,collection,Keuangan Pribadi,2,Paket Keuangan Pribadi,koleksi-template-keuangan-pribadi,koleksi,P1,planned,5,5,4,4,5,5,1,5,2,4,4,4.26,inference,Requires finance disclaimer review,T04; T06; T09; template-budget-bulanan,G04,F01; F02,TR01,,yes,Keep neutral; no advice claims.
C03,collection,Produktivitas Kerja,3,Paket Produktivitas Kerja,koleksi-template-produktivitas-kerja,koleksi,P2,planned,5,4,4,4,5,5,1,5,1,1,4,4.42,inference,Requires published productivity pages,T07; T08; T10; T11,G05; G06; G08,F04; F05; F06,TR05; TR06,,no,Low-risk collection after enough templates are live.
