file,field_or_heading,exact_claim_text,evidence_source,evidence_location,status
src/content/templates/template-follow-up-pelanggan-excel.md,file_spec,"File ini memiliki empat sheet dan tidak memakai macro",workbook inspection,public/downloads/template-follow-up-pelanggan-excel.xlsx,verified
src/content/templates/template-follow-up-pelanggan-excel.md,Isi file,"satu Excel Table, satu chart, data validation, dan 58 formula",workbook inspection,public/downloads/template-follow-up-pelanggan-excel.xlsx,verified
src/content/templates/template-follow-up-pelanggan-excel.md,Isi file,"Formula yang terdeteksi mencakup TODAY, IF, COUNTA, dan COUNTIF",workbook inspection,public/downloads/template-follow-up-pelanggan-excel.xlsx,verified
src/content/templates/template-follow-up-pelanggan-excel.md,Bagaimana ringkasan bekerja,"Kolom hari sejak kontak memakai selisih antara TODAY() dan tanggal kontak terakhir",workbook inspection,public/downloads/template-follow-up-pelanggan-excel.xlsx,verified
src/content/templates/template-follow-up-pelanggan-excel.md,Batasan,"Template tidak mengirim pesan, email, atau reminder eksternal",workbook inspection,public/downloads/template-follow-up-pelanggan-excel.xlsx,verified
src/content/templates/template-follow-up-pelanggan-excel.md,Batasan,"Kompatibilitas Google Sheets belum diverifikasi",editorial conservative wording,docs/content-rewrite/claim-register.csv,conservatively rewritten
src/content/templates/template-invoice-penjualan-umkm.md,file_spec,"File ini memiliki empat sheet dan tidak memakai macro",workbook inspection,public/downloads/template-invoice-penjualan-umkm.xlsx,verified
src/content/templates/template-invoice-penjualan-umkm.md,Isi file,"dua Excel Table, data validation, dan 13 formula",workbook inspection,public/downloads/template-invoice-penjualan-umkm.xlsx,verified
src/content/templates/template-invoice-penjualan-umkm.md,Isi file,"Tidak ditemukan chart, PivotTable, named range, atau proteksi sheet",workbook inspection,public/downloads/template-invoice-penjualan-umkm.xlsx,verified
src/content/templates/template-invoice-penjualan-umkm.md,Bagaimana formula bekerja,"nilai 0 menghasilkan Lunas sedangkan nilai selain 0 menghasilkan Belum Lunas",workbook inspection,public/downloads/template-invoice-penjualan-umkm.xlsx,verified
src/content/templates/template-invoice-penjualan-umkm.md,Batasan,"Template tidak menggantikan faktur pajak, kontrak, atau dokumen legal",editorial classification,docs/content-rewrite/claim-register.csv,conservatively rewritten
src/content/templates/template-invoice-penjualan-umkm.md,Batasan,"Kompatibilitas penuh dengan Google Sheets belum diverifikasi",editorial conservative wording,docs/content-rewrite/claim-register.csv,conservatively rewritten
src/content/templates/template-jadwal-shift-sederhana.md,file_spec,"File ini memiliki lima sheet dan tidak memakai macro",workbook inspection,public/downloads/template-jadwal-shift-sederhana.xlsx,verified
src/content/templates/template-jadwal-shift-sederhana.md,Isi file,"tiga Excel Table, data validation, dan 25 formula",workbook inspection,public/downloads/template-jadwal-shift-sederhana.xlsx,verified
src/content/templates/template-jadwal-shift-sederhana.md,Isi file,"Tidak ditemukan chart, PivotTable, named range, atau proteksi sheet",workbook inspection,public/downloads/template-jadwal-shift-sederhana.xlsx,verified
src/content/templates/template-jadwal-shift-sederhana.md,Contoh shift,"MOD(jam selesai-jam mulai,1)*24 membaca 04:00 setelah 20:00 sebagai durasi 8 jam",formula recalculation,src/content/templates/template-jadwal-shift-sederhana.md,verified
src/content/templates/template-jadwal-shift-sederhana.md,Apa yang dihitung,"TEXT membentuk nama hari dan COUNTIFS COUNTIF SUM digunakan pada ringkasan",workbook inspection,public/downloads/template-jadwal-shift-sederhana.xlsx,verified
src/content/templates/template-jadwal-shift-sederhana.md,Batasan,"Penggunaan di Google Sheets perlu diuji ulang",editorial conservative wording,docs/content-rewrite/claim-register.csv,conservatively rewritten
src/content/templates/template-kalender-planner-2026.md,file_spec,"File ini memiliki enam sheet dan tidak memakai macro",workbook inspection,public/downloads/template-kalender-planner-2026.xlsx,verified
src/content/templates/template-kalender-planner-2026.md,Isi file,"satu Excel Table, satu chart, data validation, dan 228 formula",workbook inspection,public/downloads/template-kalender-planner-2026.xlsx,verified
src/content/templates/template-kalender-planner-2026.md,Isi file,"Tidak ditemukan PivotTable, named range, proteksi sheet, atau VBA",workbook inspection,public/downloads/template-kalender-planner-2026.xlsx,verified
src/content/templates/template-kalender-planner-2026.md,Bagian formula,"MONTH WEEKDAY dan CHOOSE membentuk tanggal serta nama hari",workbook inspection,public/downloads/template-kalender-planner-2026.xlsx,verified
src/content/templates/template-kalender-planner-2026.md,Bagian formula,"COUNTIF menghitung kategori dan status pada tabel log",workbook inspection,public/downloads/template-kalender-planner-2026.xlsx,verified
src/content/templates/template-kalender-planner-2026.md,Batasan,"Template ditujukan untuk tahun 2026",workbook inspection,public/downloads/template-kalender-planner-2026.xlsx,verified
src/content/templates/template-kalender-planner-2026.md,Batasan,"Kompatibilitas Google Sheets belum diverifikasi",editorial conservative wording,docs/content-rewrite/claim-register.csv,conservatively rewritten
