path,primary_keyword,primary_intent,semantic_overlap,source_pr
"src/content/guides/panduan-power-query-unpivot.md","Unpivot Power Query: Mengubah Kolom Bulan Menjadi Data yang Siap Dianalisis","instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/guides/panduan-rekap-penjualan-harian-excel.md","Cara Membuat Rekap Penjualan Harian di Excel","instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/guides/panduan-rumus-filter-laporan.md","Cara Membuat Laporan Mandiri dengan Rumus FILTER Excel","instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/guides/panduan-rumus-let-excel.md","Rumus LET Excel: Membuat Formula Panjang Lebih Mudah Dibaca","instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/guides/panduan-sparklines-excel.md","Sparklines Excel: Membaca Tren Kecil Tanpa Membuat Grafik Besar","instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/guides/panduan-structured-references-excel-table.md","Structured References Excel: Membaca Rumus di Dalam Table","instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/guides/panduan-textsplit-excel.md","TEXTSPLIT Excel: Memecah Data Impor yang Menumpuk dalam Satu Kolom","instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/guides/panduan-unique-sort-excel.md","UNIQUE dan SORT Excel untuk Membuat Daftar Bersih Otomatis","instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/guides/panduan-validasi-data-formula-kustom.md","Validasi Data Excel dengan Formula Kustom untuk Mencegah Salah Input","instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/formulas/rumus-countifs-dashboard-status.md","COUNTIFS","reference + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/formulas/rumus-filter-daftar-dinamis.md","FILTER","reference + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/formulas/rumus-if-ifs-status-prioritas.md","IF dan IFS","reference + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/formulas/rumus-iferror-template-rapi.md","IFERROR","reference + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/formulas/rumus-sumifs-rekap-kategori.md","SUMIFS","reference + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/formulas/rumus-xlookup-vlookup-data.md","XLOOKUP dan VLOOKUP","reference + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/troubleshooting/masalah-angka-tidak-terjumlah-format-teks.md","Angka Excel Tidak Terjumlah karena Format Teks","troubleshooting","Differentiated by page type, user task, and linked next step.","current release"
"src/content/troubleshooting/masalah-dropdown-data-validation-tidak-muncul.md","Dropdown Data Validation Tidak Muncul di Excel","troubleshooting","Differentiated by page type, user task, and linked next step.","current release"
"src/content/troubleshooting/masalah-file-excel-berantakan-google-sheets.md","File Excel Berantakan saat Dibuka di Google Sheets","troubleshooting","Differentiated by page type, user task, and linked next step.","current release"
"src/content/troubleshooting/masalah-sumifs-countifs-hasil-nol.md","SUMIFS atau COUNTIFS Hasilnya 0 di Excel","troubleshooting","Differentiated by page type, user task, and linked next step.","current release"
"src/content/troubleshooting/masalah-tanggal-salah-format-excel.md","Tanggal Salah Format atau Tidak Terbaca di Excel","troubleshooting","Differentiated by page type, user task, and linked next step.","current release"
"src/content/troubleshooting/masalah-vlookup-xlookup-na.md","VLOOKUP atau XLOOKUP Menghasilkan #N/A di Excel","troubleshooting","Differentiated by page type, user task, and linked next step.","current release"
"src/content/collections/koleksi-administrasi-umkm.md","Paket Administrasi UMKM dengan Template Excel","discovery + navigation","Differentiated by page type, user task, and linked next step.","current release"
"src/content/collections/koleksi-template-keuangan-pribadi.md","Koleksi Template Keuangan Pribadi Excel","discovery + navigation","Differentiated by page type, user task, and linked next step.","current release"
"src/content/collections/koleksi-template-produktivitas-kerja.md","Koleksi Template Produktivitas Kerja Excel","discovery + navigation","Differentiated by page type, user task, and linked next step.","current release"
